,docid,key,label_jp_long_filled,amounts_change_cls,calc_parent_key
48516,S100W65X,jppfs_cor:PropertyPlantAndEquipment,有形固定資産,stable,jppfs_cor:NoncurrentAssets
48517,S100W65X,jppfs_cor:DeferredGainsOrLossesOnHedges,繰延ヘッジ損益,increase_20,jppfs_cor:ValuationAndTranslationAdjustments
48518,S100W65X,jppfs_cor:NetDefinedBenefitLiability,退職給付に係る負債,increase_10,jppfs_cor:NoncurrentLiabilities
48519,S100W65X,jppfs_cor:NotesReceivableTrade,受取手形,decrease_10,jppfs_cor:CurrentAssets
48520,S100W65X,jppfs_cor:NoncurrentLiabilities,固定負債,decrease_10,jppfs_cor:Liabilities
48521,S100W65X,jppfs_cor:ValuationDifferenceOnAvailableForSaleSecuritiesNetOfTaxOCI,その他有価証券評価差額金（税引後）、その他の包括利益,decrease_20,jppfs_cor:OtherComprehensiveIncome
48522,S100W65X,jppfs_cor:IncomeBeforeIncomeTaxes,税引前当期純利益又は税引前当期純損失（△）,decrease_20,jppfs_cor:ProfitLoss
48523,S100W65X,jppfs_cor:ShareholdersEquity,株主資本,stable,jppfs_cor:NetAssets
48524,S100W65X,jppfs_cor:AssetRetirementObligationsNCL,資産除去債務、固定負債,stable,jppfs_cor:NoncurrentLiabilities
48525,S100W65X,jpcrp030000-asr_E01075-000:HeadOfficeRelocationExpensesNOE,本社移転費用,new,jppfs_cor:NonOperatingExpenses
48526,S100W65X,jppfs_cor:NoncurrentAssets,固定資産,stable,jppfs_cor:Assets
48527,S100W65X,jppfs_cor:TreasuryStock,自己株式,decrease_20,jppfs_cor:ShareholdersEquity
48528,S100W65X,jppfs_cor:AccruedConsumptionTaxes,未払消費税等,increase_20,jppfs_cor:CurrentLiabilities
48529,S100W65X,jppfs_cor:Liabilities,負債,decrease_10,jppfs_cor:LiabilitiesAndNetAssets
48530,S100W65X,jppfs_cor:Land,土地,increase_10,jppfs_cor:PropertyPlantAndEquipment
48531,S100W65X,jppfs_cor:ProvisionForDirectorsRetirementBenefits,役員退職慰労引当金,increase_10,jppfs_cor:NoncurrentLiabilities
48532,S100W65X,jppfs_cor:OtherEL,その他、特別損失,decrease_10,jppfs_cor:ExtraordinaryLoss
48533,S100W65X,jppfs_cor:OtherComprehensiveIncome,その他の包括利益,decrease_20,jppfs_cor:ComprehensiveIncome
48534,S100W65X,jppfs_cor:AccumulatedDepreciationLeaseAssetsPPE,減価償却累計額、リース資産、有形固定資産,increase_10,jppfs_cor:LeaseAssetsNetPPE
48535,S100W65X,jppfs_cor:InterestIncomeNOI,受取利息、営業外収益,decrease_20,jppfs_cor:NonOperatingIncome
48536,S100W65X,jppfs_cor:LongTermPrepaidExpenses,長期前払費用,stable,jppfs_cor:InvestmentsAndOtherAssets
48537,S100W65X,jppfs_cor:MerchandiseAndFinishedGoods,商品及び製品,increase_10,jppfs_cor:CurrentAssets
48538,S100W65X,jppfs_cor:InterestExpensesNOE,支払利息、営業外費用,increase_10,jppfs_cor:NonOperatingExpenses
48539,S100W65X,jppfs_cor:CurrentAssets,流動資産,stable,jppfs_cor:Assets
48540,S100W65X,jppfs_cor:CurrentLiabilities,流動負債,decrease_10,jppfs_cor:Liabilities
48541,S100W65X,jppfs_cor:LongTermGuaranteeDeposited,長期預り保証金,decrease_10,jppfs_cor:NoncurrentLiabilities
48542,S100W65X,jppfs_cor:AccumulatedDepreciationMachineryEquipmentAndVehicles,減価償却累計額、機械装置及び運搬具,stable,jppfs_cor:MachineryEquipmentAndVehiclesNet
48543,S100W65X,jppfs_cor:NonOperatingIncome,営業外収益,decrease_10,jppfs_cor:OrdinaryIncome
48544,S100W65X,jppfs_cor:NonOperatingExpenses,営業外費用,increase_20,jppfs_cor:OrdinaryIncome
48545,S100W65X,jppfs_cor:SellingGeneralAndAdministrativeExpenses,販売費及び一般管理費,increase_10,jppfs_cor:OperatingIncome
48546,S100W65X,jppfs_cor:LossOnSalesOfSubsidiariesStocksEL,子会社株式売却損、特別損失,new,jppfs_cor:ExtraordinaryLoss
48547,S100W65X,jppfs_cor:DeferredGainsOrLossesOnHedgesNetOfTaxOCI,繰延ヘッジ損益（税引後）、その他の包括利益,increase_20,jppfs_cor:OtherComprehensiveIncome
48548,S100W65X,jppfs_cor:BuildingsAndStructures,建物及び構築物,increase_10,jppfs_cor:BuildingsAndStructuresNet
48549,S100W65X,jppfs_cor:AccumulatedDepreciationOtherPPE,減価償却累計額、その他、有形固定資産,stable,jppfs_cor:OtherNetPPE
48550,S100W65X,jppfs_cor:ShortTermLoansPayable,短期借入金,decrease_20,jppfs_cor:CurrentLiabilities
48551,S100W65X,jppfs_cor:LossOnSalesOfNoncurrentAssetsEL,固定資産売却損、特別損失,new,jppfs_cor:ExtraordinaryLoss
48552,S100W65X,jppfs_cor:ProfitLossAttributableToOwnersOfParent,親会社株主に帰属する当期純利益又は親会社株主に帰属する当期純損失（△）,decrease_20,not_common_account
48553,S100W65X,jppfs_cor:ExtraordinaryLoss,特別損失,increase_20,jppfs_cor:IncomeBeforeIncomeTaxes
48554,S100W65X,jppfs_cor:IncomeTaxes,法人税等,decrease_20,jppfs_cor:ProfitLoss
48555,S100W65X,jppfs_cor:GrossProfit,売上総利益又は売上総損失（△）,increase_20,jppfs_cor:OperatingIncome
48556,S100W65X,jppfs_cor:RetainedEarnings,利益剰余金,stable,jppfs_cor:ShareholdersEquity
48557,S100W65X,jppfs_cor:OtherNOE,その他、営業外費用,increase_10,jppfs_cor:NonOperatingExpenses
48558,S100W65X,jppfs_cor:ProfitLossAttributableToNonControllingInterests,非支配株主に帰属する当期純利益又は非支配株主に帰属する当期純損失（△）,decrease_20,not_common_account
48559,S100W65X,jppfs_cor:IncomeTaxesCurrent,法人税、住民税及び事業税,decrease_10,jppfs_cor:IncomeTaxes
