docid,text_type,text_list
S100D942,mda,"雇用・所得環境の改善を背景に緩やかな景気回復基調が続いた
人手不足や食材価格の上昇等の厳しさが見られた
飲食店支援事業の拡大と新規事業の拡大・創出を進めた
「1,000人のサポート体制」による価値提供の最大化及び新たなサービスの具現化を進めた
店内業務のICT化や経営資源の調達等の業務支援分野の拡充に注力した
"
S100DEOQ,mda,"事業活動に要する運転資金、生産及び研究開発に要する設備投資などの資金需要
自己資金、金融機関からの短期・長期借入金等により必要資金を調達
グループ資金管理体制の整備・強化、資金効率の向上
不測の事態に備えて取引銀行と当座貸越契約及び貸出コミットメント契約を締結
国内では企業収益や雇用環境の改善などを背景に景気の緩やかな回復基調が続いた
"
S100DFCS,mda,"有利子負債の長期化を推進
コミットメントライン契約を締結
業種別貸付金残高内訳
担保別貸付金残高内訳
期間別貸付金残高内訳
"
S100DG9P,mda,"営業活動による資金の増加
投資活動による資金の減少
財務活動による資金の増加
親会社株主に帰属する当期純利益の増加
3ヶ年計画「大和ハウスグループ第5次中期経営計画」に基づき、国内需要の取り込みによるコア事業の拡大を図った
"
S100DGRF,mda,"国内経済は堅調な海外経済や政府・日銀による経済対策・金融政策を背景として回復
幅広い産業で設備老朽化に伴う更新や保全、合理化や省力化への投資が旺盛
受注環境や豊富な受注残
人件費や原材料価格の上昇によるコストアップ
空調、半導体、機械工業関連向けの受注増加[熱交換器事業]
"
S100E0WR,mda,"労働力人口の減少
北海道の市場を基盤としながらも、東北地方においても雇用環境の改善を念頭に企業業績の拡大と地域の活性化に向けた業務を推進
入札案件の獲得及びコールセンター等の派遣ニーズに対応[人材派遣関連事業]
既存の大口クライアントの稼働数が一部減少[人材派遣関連事業(関東)]
海外からのインターンシップ受入サポート事業の伸び[人材紹介事業]
"
S100E634,mda,"KeePerの品質維持とブランディングに努めた
キーパープロショップ登録店舗数の増加と1店舗当たりの施工台数の増加
キーパーLABO既存店の売上向上と新規出店のペースアップ
キーパーLABOとキーパープロショップの共存共栄
ユーザーに提供されるキーパーコーティングの品質の維持・向上を従来以上に実現していくことが、当面の業績を向上させるだけでなく、将来に向けての発展を目指したKeePerのブランディングを確実にしていくために最も重要であると考える
"
S100ETMD,mda,"わが国経済は緩やかな回復基調で推移する一方で、海外の政治情勢や経済の不確実性から先行きは不透明な状況が続いた
当社グループは、「食を通して健康になる」というコンセプト「Enjoy Life!」の考えを柱と定め、「商品開発」「基礎営業力の強化」「人財の育成」を重点取組項目とした
商品開発では当社プライベートブランド「mami+ Enjoy Life!」の新規開発、リニューアルを重点的に進めた
人財の育成では従業員一人一人がより主体的に経営へ参画する活動を推進した
営業面では新しい店舗モデルへのチャレンジとして、店内焼き上げピザ、トースト、カレーライスなど、お客様より注文をうけ、その場で調理し、提供した
"
S100FI6Z,mda,"わが国経済は緩やかな回復基調が続いているものの、個人消費は実質所得改善の実感がなく停滞感を残している
海外経済においては、米国では減税による設備投資拡大や個人消費の拡大が景気を下支えしたものの、中国では米国との通商交渉の摩擦を発端とした低迷が継続し、不安含みの状況となっている
国内住宅関連業界においては、住宅ローン減税や金利優遇政策の効果一巡により、新設住宅着工戸数が前年を下回ったことに加え、労働力不足や素材価格の高騰等の影響により厳しい経営環境となっている
中期経営計画『Vプラン20』の方針に基づき、国内事業の収益力の強化、海外事業の拡大に向けた取組みを進めた
国内事業においては、付加価値商材の伸び悩みや素材価格高騰の影響などにより減収減益となった
"
S100FTGD,mda,"原材料等の仕入れ、研究開発費、および販売費などの運転資金、ならびに生産および研究開発を目的とする設備投資
営業活動によるキャッシュ・フローからの資金充当
金融機関からの借入金による資金調達
ヒト成長ホルモン製剤「グロウジェクト®」、腎性貧血治療薬「エポエチンアルファBS注JCR」および再生医療等製品「テムセル®HS注」の販売が順調に推移
国産初となるライソゾーム病治療薬として、昨年11月よりファブリー病治療薬「アガルシダーゼベータBS点滴静注JCR」の販売を開始
"
S100FW7O,mda,"本社を「さっぽろ創世スクエア」に移転
コーポレートガバナンス体制の整備
株主優待制度の拡充
営業活動によるキャッシュ・フローの増加
投資活動によるキャッシュ・フローの減少
"
S100G09E,mda,"原材料の購入費、製造費、販売費及び一般管理費等の営業費用、税金の支払い、新製品立ち上がりに伴う生産設備や金型投資
短期運転資金を自己資金及び金融機関からの短期借入で調達
4,681百万円の設備投資を実施
自動車業界では国内で軽自動車の販売増加や新型車の投入効果があったが、西日本豪雨災害や完成車検査問題等の影響もあり、販売台数は横ばいとなった
西日本豪雨の影響や新製品立ち上げ時のロス、北米事業における業績改善の遅れ
"
